Situation,Mentor,Utterance/Prompt
_INTRO_,leadership_twitty-shellaree_scpo,"Hello. My name is Senior Chief Celery Twitty. I've been in the Navy for 19 years. I am the senior listed leader here in San Jose, California I work at the Naval Operational Support Center. My job consists of taking care of sailors. That's what I like to do. I started out in Akron, Ohio, as a reservist, and I did the reserve time for two years. It was around 9 11, and I actually went active duty after that. I spent some time in Akron, Ohio, from their Ingleside, Texas. Uh, Jacksonville, Florida. Great Lakes. Illinois is back to boot camp, the Bureau of Medicine Surgery in Falls Church. And now I'm here in California. I am a single mother of six Children, five boys and one girl, and I have one granddaughter."
_BIO_LONG_,leadership_twitty-shellaree_scpo,"Hello. My name is Senior Chief Celery Twitty. I've been in the Navy for 19 years. I'm actually stationed at Naval Operational Support Center, San Jose in California. My job here is to help sailors, something I've always loved to do. I have six Children, five boys and one girl and a granddaughter. I came in the Navy in Akron, Ohio, As a reservist. I did two years of reserve time after I did my reserve time. It was your 9 11. I went to boot camp in October. In boot camp. I did everything I was supposed to do. Graduated and from there on, I came back home and they re called me the active duty because of 9 11. What that mean was I was at the reserve center taking care of sailors ordering different supplies for them. I realized I want to do something different. So I went after duty, full time support. After coming on as an active duty sailor, I went to a ship in Ingleside, Texas. I was on the ship for three years. As a culinary specialist, I realized I wanted to change my rate to something different as well. So that's one of my commanding officer told me. He said, If you pass on your inspections outside, off on you, to change your rate took hospital Cormack. And that's exactly what I did from hospital. From from leaving the ship, I went directly to hospital course school. That's where I was the second class and hospital course school. I left there and went to our D. C. I went to Great Lakes, one of my favorite jobs being in our d. C. I went there like I said in the beginning, as a second class from there, I made first very quickly, and I left Great Lakes as a chief, which is one of the greatest milestones in my life. I am now here at Naval Operational Support Center here in San Jose, California and I am the senior enlisted leader. I spent a lot of time taking care of sailors taking care of my commanding officer and my excel"
_PROMPT_,leadership_twitty-shellaree_scpo,Hello.
_FEEDBACK_,leadership_twitty-shellaree_scpo,it's nice to meet you.
_OFF_TOPIC_,leadership_twitty-shellaree_scpo,I don't really have an opinion on that.
_FEEDBACK_,leadership_twitty-shellaree_scpo,I hope so.
_FEEDBACK_,leadership_twitty-shellaree_scpo,I'm sorry.
_FEEDBACK_,leadership_twitty-shellaree_scpo,I'm sorry to hear that.
_PROMPT_,leadership_twitty-shellaree_scpo,I see you didn't ask anything there.
_PROMPT_,leadership_twitty-shellaree_scpo,you have to ask me something to get a response.
_FEEDBACK_,leadership_twitty-shellaree_scpo,Thank you.
_FEEDBACK_,leadership_twitty-shellaree_scpo,I understand that.
_FEEDBACK_,leadership_twitty-shellaree_scpo,I went through something similar. Yeah.
_OFF_TOPIC_,leadership_twitty-shellaree_scpo,I'm not sure.
_OFF_TOPIC_,leadership_twitty-shellaree_scpo,I can't hear you.
_OFF_TOPIC_,leadership_twitty-shellaree_scpo,I don't understand.
_PROMPT_,leadership_twitty-shellaree_scpo,"Can you repeat that, please?"
_OFF_TOPIC_,leadership_twitty-shellaree_scpo,I don't have an answer for that. This happened.
_PROMPT_,leadership_twitty-shellaree_scpo,Can you ask me something else?
_OFF_TOPIC_,leadership_twitty-shellaree_scpo,you know it really help if you could keep the question short and simple.
_OFF_TOPIC_,leadership_twitty-shellaree_scpo,"Can you rephrase the question, please?"
_FEEDBACK_,leadership_twitty-shellaree_scpo,e cannot predict the future.
_FEEDBACK_,leadership_twitty-shellaree_scpo,I did not want to speculate about the future.
_OFF_TOPIC_,leadership_twitty-shellaree_scpo,I don't know what that is.
_OFF_TOPIC_,leadership_twitty-shellaree_scpo,I don't know who that is.
_OFF_TOPIC_,leadership_twitty-shellaree_scpo,I'm not going to talk about that.
_OFF_TOPIC_,leadership_twitty-shellaree_scpo,"Unfortunately, I'm not here to talk about that."
_PROFANITY_,leadership_twitty-shellaree_scpo,could you please? Referring from the use of profanity. Would you talk to your mother like that?
_PROFANITY_,leadership_twitty-shellaree_scpo,"you might have heard the sayings swearing like a sailor, but it will actually hurt your career."
_PROMPT_,leadership_twitty-shellaree_scpo,anything else.
