ID,utterance,situation
s001p012s00030380e00030673,Can you keep that?,Can you repeat that?
s001p012s00031660e00032056,I don't have an answer for that.,I don't have an answer for that.
s001p012s00034187e00034530,did you ask being something else?,Can you ask me something else?
s001p012s00040767e00041360,it would help if you could keep the questions short and simple.,It would help if you could keep the questions short and simple.
s001p012s00042130e00042500,venues. Rephrase the question.,Can you rephrase the question?
s001p012s00043167e00043560,I cannot predict the future.,I can not predict the future.
s001p012s00044340e00044797,I do not want to speculate about the future.,I do not want to speculate about the future.
s001p012s00045417e00045820,I don't know what that is.,I don't know what that is.
s001p012s00050533e00050883,I don't know who that is.,I don't know who that is.
s001p012s00051630e00051990,I am not going to talk about that.,I am not going to talk about that.
s001p012s00052873e00053290,I am not here to talk about that.,I am not here to talk about that
s001p012s00054740e00055267,Can you refrain from the years of vanity?,Can you refrain from the use of profanity?
s001p012s00061467e00062250,"good, uh, swearing and cussing like a sailor that will hurt your career.","You may have heard about swearing and cussing like a sailor, but that will hurt your career."
s001p012s00062980e00063183,anything else.,Anything else?
s001p018s00004753e00005290,I don't have enough information to talk about that.,_OFF_TOPIC_
s001p018s00005870e00010340,I do not have an answer for that.,_OFF_TOPIC_
s001p018s00011300e00012147,"That's a great question. Unfortunately, I did not record answer that.",_OFF_TOPIC_
s001p018s00013100e00013600,That's a great question. I wish I had a lot of that.,_OFF_TOPIC_
s001p018s00014650e00015647,"It's a great question, but unfortunately I don't have an answer right now with that.",_OFF_TOPIC_
s001p018s00020566e00020993,"Fortunately, I was never asked that question.",_OFF_TOPIC_
s001p018s00021853e00022197,What do you want to talk about?,_PROMPT_
s001p018s00023050e00023640,"you might have to ask me, Sofia.",_OFF_TOPIC_
s001p018s00024127e00024840,What would you like? Us?,_PROMPT_
s001p018s00025523e00025793,do you want to know?,_PROMPT_
s001p018s00030540e00031050,What do you want to know Out?,_PROMPT_
s001p018s00031877e00032373,What do you want to know about leadership?,_PROMPT_
s001p018s00035447e00040187,you can ask for tips about your first long as,_PROMPT_
s001p018s00041230e00041983,you can ask me my old to leadership strategies.,_PROMPT_
s001p018s00042766e00043447,ask me in your life set out after a big move.,_PROMPT_
s001p018s00044340e00045143,you can ask me about serious problems like sexual harassment or suicide.,_PROMPT_
s001p018s00045670e00050190,you can ask me about my job in the baby.,_PROMPT_
s001p018s00050593e00050970,you can ask me about my background.,_PROMPT_
s001p018s00054433e00055193,Go ahead. Ask me about who gave me the best advice about my career paths.,_PROMPT_
s001p018s00055917e00060253,I might have covered this already.,_REPEAT_
s001p018s00073287e00074490,I did a lot of technical training in. So you can ask me. Idiot supports is about how what I've learned in my time.,_PROMPT_
s001p018s00082137e00083337,"I have not had a perfect career, but you could ask me about some of the challenges and failure points that I've had throughout mind.",_PROMPT_
s001p018s00085513e00093673,"happens, it's your initial career path doesn't work out for us. That's if you're a pilot on you washed out of flight, you may be given the opportunity to transition over to surface. Or you may be given an opportunity to transition to a rip restricted line that will depend on the needs off the other service is or the other career field. What? The detail isn't on the programme leaders need there.",_PROMPT_
s001p018s00131666e00144166,"questions you asked me about. What's New York Mets dominating? The Dodgers is always available to talk about that's the 1986 Mets 2000 world Siris. In some ways, there is happy to talk about. Those probably reached me offline for further comment on that over for the tapes and recordings that you're going to see, Click on Head. It's really about challenges that you like face in the first sea duty that field, too, uh, life at sea worship driver, because I am sure, and it's based on my experiences there. You also can ask questions about housing. You move from base debates like these questions in their cover. That and just a general illusion questions leadership style questions because we know you've had that textbook at this point, either. At O. C s war, CIA knows reading list. They want not what? There's gonna be some questions that you can want one look on on. Asked me about my responses",_PROMPT_
